Image 1: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 95.98%
Image 149: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.75%
Image 150: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 98.94%
Image 151: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.36%
Image 152: Predicted Gesture: 3, Correct Gesture: 2, Confidence: 86.29%
Image 153: Predicted Gesture: 3, Correct Gesture: 2, Confidence: 74.83%
Image 154: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 85.22%
Image 155: Predicted Gesture: 3, Correct Gesture: 2, Confidence: 89.62%
Image 156: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 81.72%
Image 157: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 82.77%
Image 158: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 95.47%
Image 159: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 98.96%
Image 160: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 82.62%
Image 161: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 66.93%
Image 162: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 83.80%
Image 163: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 98.17%
Image 164: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 94.69%
Image 165: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 90.92%
Image 166: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 80.63%
Image 167: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.33%
Image 168: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.94%
Image 169: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.82%
Image 170: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 87.21%
Image 171: Predicted Gesture: 7, Correct Gesture: 2, Confidence: 97.58%
Image 172: Predicted Gesture: 7, Correct Gesture: 2, Confidence: 99.01%
Image 173: Predicted Gesture: 7, Correct Gesture: 2, Confidence: 92.84%
Image 174: Predicted Gesture: 9, Correct Gesture: 2, Confidence: 58.38%
Image 175: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 100.00%
Image 176: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 87.81%
Image 177: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 95.47%
Image 178: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 92.77%
Image 179: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 97.12%
Image 180: Predicted Gesture: 7, Correct Gesture: 2, Confidence: 40.54%
Image 181: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 98.13%
Image 182: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 85.03%
Image 183: Predicted Gesture: 4, Correct Gesture: 3, Confidence: 67.07%
Image 184: Predicted Gesture: 4, Correct Gesture: 3, Confidence: 57.51%
Image 185: Predicted Gesture: 8, Correct Gesture: 3, Confidence: 57.51%
Image 186: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.61%
Image 187: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 188: Predicted Gesture: 4, Correct Gesture: 3, Confidence: 73.84%
Image 189: Predicted Gesture: 4, Correct Gesture: 3, Confidence: 92.97%
Image 190: Predicted Gesture: 0, Correct Gesture: 3, Confidence: 80.08%
Image 191: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.90%
Image 192: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 96.16%
Image 193: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 194: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 195: Predicted Gesture: 2, Correct Gesture: 3, Confidence: 90.80%
Image 196: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.75%
Image 197: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.73%
Image 198: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.98%
Image 199: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 200: Predicted Gesture: 2, Correct Gesture: 3, Confidence: 96.45%
Image 201: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 98.57%
Image 202: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.97%
Image 203: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.15%
Image 204: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.87%
Image 205: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 92.04%
Image 206: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 98.18%
Image 207: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 98.29%
Image 208: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 79.49%
Image 209: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.66%
Image 210: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.89%
Image 211: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.56%
Image 212: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.86%
Image 213: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.88%
Image 214: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 93.75%
Image 215: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.09%
Image 216: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 217: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.89%
Image 218: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.99%
Image 219: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.98%
Image 220: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.97%
Image 221: Predicted Gesture: 9, Correct Gesture: 3, Confidence: 75.69%
Image 222: Predicted Gesture: 9, Correct Gesture: 3, Confidence: 99.82%
Image 223: Predicted Gesture: 9, Correct Gesture: 3, Confidence: 95.49%
Image 224: Predicted Gesture: 9, Correct Gesture: 3, Confidence: 52.99%
Image 225: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.55%
Image 226: Predicted Gesture: 5, Correct Gesture: 3, Confidence: 45.32%
Image 227: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.99%
Image 228: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.97%
Image 229: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 230: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 98.08%
Image 231: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 232: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.24%
Image 233: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.99%
Image 234: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 235: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 236: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.86%
Image 237: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 238: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 96.02%
Image 239: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 90.86%
Image 240: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 92.67%
Image 241: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 98.78%
Image 242: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 82.92%
Image 243: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.97%
Image 244: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.96%
Image 245: Predicted Gesture: 5, Correct Gesture: 4, Confidence: 87.37%
Image 246: Predicted Gesture: 5, Correct Gesture: 4, Confidence: 67.73%
Image 247: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 100.00%
Image 248: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 100.00%
Image 249: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 86.69%
Image 250: Predicted Gesture: 5, Correct Gesture: 4, Confidence: 73.09%
Image 251: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 100.00%
Image 252: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 98.74%
Image 253: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.88%
Image 254: Predicted Gesture: 6, Correct Gesture: 4, Confidence: 99.99%
Image 255: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.77%
Image 256: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.49%
Image 257: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 100.00%
Image 258: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.81%
Image 259: Predicted Gesture: 6, Correct Gesture: 4, Confidence: 99.97%
Image 260: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.41%
Image 261: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.71%
Image 262: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 100.00%
Image 263: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 69.85%
Image 264: Predicted Gesture: 5, Correct Gesture: 4, Confidence: 56.80%
Image 265: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 67.97%
Image 266: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 98.82%
Image 267: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 71.55%
Image 268: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 87.85%
Image 269: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 65.65%
Image 270: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.18%
Image 271: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 98.22%
Image 272: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 98.53%
Image 273: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 89.61%
Image 274: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.35%
Image 275: Predicted Gesture: 7, Correct Gesture: 4, Confidence: 35.94%
Image 276: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.95%
Image 277: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.96%
Image 278: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.80%
Image 279: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.64%
Image 280: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.97%
Image 281: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.95%
Image 282: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.96%
Image 283: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.98%
Image 284: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.98%
Image 285: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.43%
Image 286: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.57%
Image 287: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.87%
Image 288: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.91%
Image 289: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 42.11%
Image 290: Predicted Gesture: 9, Correct Gesture: 4, Confidence: 99.88%
Image 291: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.99%
Image 292: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 97.10%
Image 293: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 97.01%
Image 294: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 96.33%
Image 295: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 96.71%
Image 296: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 79.49%
Image 297: Predicted Gesture: 9, Correct Gesture: 4, Confidence: 74.44%
Image 298: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 82.96%
Image 299: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 91.98%
Image 300: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 98.92%
Image 301: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.88%
Image 302: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.95%
Image 303: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 304: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 305: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 306: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 93.73%
Image 307: Predicted Gesture: 6, Correct Gesture: 5, Confidence: 50.98%
Image 308: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 309: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 310: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.99%
Image 311: Predicted Gesture: 4, Correct Gesture: 5, Confidence: 51.91%
Image 312: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.98%
Image 313: Predicted Gesture: 6, Correct Gesture: 5, Confidence: 78.95%
Image 314: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 315: Predicted Gesture: 4, Correct Gesture: 5, Confidence: 65.40%
Image 316: Predicted Gesture: 4, Correct Gesture: 5, Confidence: 65.40%
Image 317: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.98%
Image 318: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 319: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 320: Predicted Gesture: 4, Correct Gesture: 5, Confidence: 74.78%
Image 321: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.98%
Image 322: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.91%
Image 323: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 324: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 325: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.41%
Image 326: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 90.47%
Image 327: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.02%
Image 328: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.47%
Image 329: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 78.36%
Image 330: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 98.99%
Image 331: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 87.37%
Image 332: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.82%
Image 333: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 70.01%
Image 334: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.77%
Image 335: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 60.72%
Image 336: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 337: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 338: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 339: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.95%
Image 340: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 341: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 342: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 343: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 344: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 97.89%
Image 345: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.68%
Image 346: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 98.83%
Image 347: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 348: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 349: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.97%
Image 350: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.81%
Image 351: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 352: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.46%
Image 353: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.67%
Image 354: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.35%
Image 355: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 356: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.96%
Image 357: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
