Image 1: Predicted Gesture: 0, Correct Gesture: 0, Confidence: 90.44%
Image 35: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 80.17%
Image 36: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 86.20%
Image 37: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 97.65%
Image 38: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 95.06%
Image 39: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 54.20%
Image 40: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 48.23%
Image 41: Predicted Gesture: 6, Correct Gesture: 1, Confidence: 97.96%
Image 42: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 95.03%
Image 43: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 61.80%
Image 44: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 55.22%
Image 45: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 67.90%
Image 46: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 97.60%
Image 47: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.95%
Image 48: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 89.97%
Image 49: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 82.52%
Image 50: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 52.72%
Image 51: Predicted Gesture: 6, Correct Gesture: 1, Confidence: 45.09%
Image 52: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.99%
Image 53: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 70.24%
Image 54: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 95.76%
Image 55: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 93.31%
Image 56: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.13%
Image 57: Predicted Gesture: 2, Correct Gesture: 1, Confidence: 99.21%
Image 58: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 90.85%
Image 59: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 90.86%
Image 60: Predicted Gesture: 1, Correct Gesture: 1, Confidence: 99.89%
Image 61: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 69.58%
Image 62: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 84.66%
Image 63: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 77.94%
Image 64: Predicted Gesture: 9, Correct Gesture: 2, Confidence: 47.44%
Image 65: Predicted Gesture: 9, Correct Gesture: 2, Confidence: 68.83%
Image 66: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 74.40%
Image 67: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.51%
Image 68: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 95.59%
Image 69: Predicted Gesture: 5, Correct Gesture: 2, Confidence: 97.92%
Image 70: Predicted Gesture: 4, Correct Gesture: 2, Confidence: 59.92%
Image 71: Predicted Gesture: 1, Correct Gesture: 2, Confidence: 98.52%
Image 72: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 84.37%
Image 73: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 54.55%
Image 74: Predicted Gesture: 3, Correct Gesture: 2, Confidence: 86.29%
Image 75: Predicted Gesture: 3, Correct Gesture: 2, Confidence: 74.83%
Image 76: Predicted Gesture: 3, Correct Gesture: 2, Confidence: 89.62%
Image 77: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 82.77%
Image 78: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 66.93%
Image 79: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 83.80%
Image 80: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 98.17%
Image 81: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 94.69%
Image 82: Predicted Gesture: 6, Correct Gesture: 2, Confidence: 90.92%
Image 83: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 99.82%
Image 84: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 87.21%
Image 85: Predicted Gesture: 7, Correct Gesture: 2, Confidence: 97.58%
Image 86: Predicted Gesture: 7, Correct Gesture: 2, Confidence: 99.01%
Image 87: Predicted Gesture: 9, Correct Gesture: 2, Confidence: 58.38%
Image 88: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 87.81%
Image 89: Predicted Gesture: 2, Correct Gesture: 2, Confidence: 92.77%
Image 90: Predicted Gesture: 7, Correct Gesture: 2, Confidence: 40.54%
Image 91: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 85.03%
Image 92: Predicted Gesture: 4, Correct Gesture: 3, Confidence: 67.07%
Image 93: Predicted Gesture: 4, Correct Gesture: 3, Confidence: 57.51%
Image 94: Predicted Gesture: 8, Correct Gesture: 3, Confidence: 57.51%
Image 95: Predicted Gesture: 4, Correct Gesture: 3, Confidence: 92.97%
Image 96: Predicted Gesture: 0, Correct Gesture: 3, Confidence: 80.08%
Image 97: Predicted Gesture: 2, Correct Gesture: 3, Confidence: 90.80%
Image 98: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.73%
Image 99: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.98%
Image 100: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 101: Predicted Gesture: 2, Correct Gesture: 3, Confidence: 96.45%
Image 102: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 92.04%
Image 103: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 79.49%
Image 104: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.89%
Image 105: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.56%
Image 106: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 93.75%
Image 107: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.09%
Image 108: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 109: Predicted Gesture: 9, Correct Gesture: 3, Confidence: 99.82%
Image 110: Predicted Gesture: 9, Correct Gesture: 3, Confidence: 95.49%
Image 111: Predicted Gesture: 9, Correct Gesture: 3, Confidence: 52.99%
Image 112: Predicted Gesture: 5, Correct Gesture: 3, Confidence: 45.32%
Image 113: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.99%
Image 114: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.97%
Image 115: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 100.00%
Image 116: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.24%
Image 117: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 99.99%
Image 118: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 96.02%
Image 119: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 90.86%
Image 120: Predicted Gesture: 3, Correct Gesture: 3, Confidence: 92.67%
Image 121: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 82.92%
Image 122: Predicted Gesture: 5, Correct Gesture: 4, Confidence: 67.73%
Image 123: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 100.00%
Image 124: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 100.00%
Image 125: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 86.69%
Image 126: Predicted Gesture: 5, Correct Gesture: 4, Confidence: 73.09%
Image 127: Predicted Gesture: 6, Correct Gesture: 4, Confidence: 99.97%
Image 128: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.41%
Image 129: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.71%
Image 130: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 100.00%
Image 131: Predicted Gesture: 5, Correct Gesture: 4, Confidence: 56.80%
Image 132: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 67.97%
Image 133: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 65.65%
Image 134: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 98.22%
Image 135: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 89.61%
Image 136: Predicted Gesture: 7, Correct Gesture: 4, Confidence: 35.94%
Image 137: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.95%
Image 138: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.96%
Image 139: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.80%
Image 140: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.95%
Image 141: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 99.98%
Image 142: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 42.11%
Image 143: Predicted Gesture: 9, Correct Gesture: 4, Confidence: 99.88%
Image 144: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 97.10%
Image 145: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 96.33%
Image 146: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 96.71%
Image 147: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 79.49%
Image 148: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 82.96%
Image 149: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 91.98%
Image 150: Predicted Gesture: 4, Correct Gesture: 4, Confidence: 98.92%
Image 151: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.95%
Image 152: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 93.73%
Image 153: Predicted Gesture: 6, Correct Gesture: 5, Confidence: 50.98%
Image 154: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 155: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 156: Predicted Gesture: 4, Correct Gesture: 5, Confidence: 51.91%
Image 157: Predicted Gesture: 4, Correct Gesture: 5, Confidence: 65.40%
Image 158: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.98%
Image 159: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 160: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 161: Predicted Gesture: 4, Correct Gesture: 5, Confidence: 74.78%
Image 162: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 78.36%
Image 163: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 98.99%
Image 164: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 87.37%
Image 165: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 70.01%
Image 166: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 60.72%
Image 167: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 168: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 169: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 170: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 97.89%
Image 171: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 98.83%
Image 172: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.97%
Image 173: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.81%
Image 174: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 100.00%
Image 175: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.46%
Image 176: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.67%
Image 177: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.96%
Image 178: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 99.96%
Image 179: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 98.41%
Image 180: Predicted Gesture: 5, Correct Gesture: 5, Confidence: 92.41%
Image 181: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 81.38%
Image 182: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 86.83%
Image 183: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 77.63%
Image 184: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 91.55%
Image 185: Predicted Gesture: 0, Correct Gesture: 6, Confidence: 63.44%
Image 186: Predicted Gesture: 7, Correct Gesture: 6, Confidence: 53.83%
Image 187: Predicted Gesture: 7, Correct Gesture: 6, Confidence: 77.26%
Image 188: Predicted Gesture: 3, Correct Gesture: 6, Confidence: 82.62%
Image 189: Predicted Gesture: 7, Correct Gesture: 6, Confidence: 86.29%
Image 190: Predicted Gesture: 7, Correct Gesture: 6, Confidence: 51.14%
Image 191: Predicted Gesture: 7, Correct Gesture: 6, Confidence: 73.87%
Image 192: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 61.52%
Image 193: Predicted Gesture: 2, Correct Gesture: 6, Confidence: 44.21%
Image 194: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 51.78%
Image 195: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 49.68%
Image 196: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 82.65%
Image 197: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 55.94%
Image 198: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 88.36%
Image 199: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 99.58%
Image 200: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 99.99%
Image 201: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 85.80%
Image 202: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 94.75%
Image 203: Predicted Gesture: 7, Correct Gesture: 6, Confidence: 62.49%
Image 204: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 99.91%
Image 205: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 77.11%
Image 206: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 99.88%
Image 207: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 96.65%
Image 208: Predicted Gesture: 4, Correct Gesture: 6, Confidence: 97.72%
Image 209: Predicted Gesture: 3, Correct Gesture: 6, Confidence: 46.56%
Image 210: Predicted Gesture: 6, Correct Gesture: 6, Confidence: 37.96%
Image 211: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 71.91%
Image 212: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 85.54%
Image 213: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 100.00%
Image 214: Predicted Gesture: 4, Correct Gesture: 7, Confidence: 78.68%
Image 215: Predicted Gesture: 4, Correct Gesture: 7, Confidence: 64.76%
Image 216: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 99.93%
Image 217: Predicted Gesture: 6, Correct Gesture: 7, Confidence: 93.94%
Image 218: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 62.24%
Image 219: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 99.86%
Image 220: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 99.79%
Image 221: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 64.00%
Image 222: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 87.91%
Image 223: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 48.24%
Image 224: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 43.80%
Image 225: Predicted Gesture: 2, Correct Gesture: 7, Confidence: 47.54%
Image 226: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 30.97%
Image 227: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 74.92%
Image 228: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 55.15%
Image 229: Predicted Gesture: 4, Correct Gesture: 7, Confidence: 76.96%
Image 230: Predicted Gesture: 4, Correct Gesture: 7, Confidence: 50.01%
Image 231: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 86.41%
Image 232: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 87.14%
Image 233: Predicted Gesture: 9, Correct Gesture: 7, Confidence: 53.89%
Image 234: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 99.33%
Image 235: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 100.00%
Image 236: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 99.99%
Image 237: Predicted Gesture: 3, Correct Gesture: 7, Confidence: 45.70%
Image 238: Predicted Gesture: 5, Correct Gesture: 7, Confidence: 42.52%
Image 239: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 77.89%
Image 240: Predicted Gesture: 7, Correct Gesture: 7, Confidence: 76.35%
Image 241: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 37.49%
Image 242: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 100.00%
Image 243: Predicted Gesture: 3, Correct Gesture: 8, Confidence: 55.58%
Image 244: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 95.13%
Image 245: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 100.00%
Image 246: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 98.91%
Image 247: Predicted Gesture: 1, Correct Gesture: 8, Confidence: 87.23%
Image 248: Predicted Gesture: 1, Correct Gesture: 8, Confidence: 89.00%
Image 249: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 99.65%
Image 250: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 98.22%
Image 251: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 98.70%
Image 252: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 97.65%
Image 253: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 98.32%
Image 254: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 90.61%
Image 255: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 72.18%
Image 256: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 71.11%
Image 257: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 99.97%
Image 258: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 93.65%
Image 259: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 99.14%
Image 260: Predicted Gesture: 3, Correct Gesture: 8, Confidence: 99.02%
Image 261: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 94.93%
Image 262: Predicted Gesture: 7, Correct Gesture: 8, Confidence: 98.33%
Image 263: Predicted Gesture: 7, Correct Gesture: 8, Confidence: 92.82%
Image 264: Predicted Gesture: 4, Correct Gesture: 8, Confidence: 79.92%
Image 265: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 100.00%
Image 266: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 100.00%
Image 267: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 82.90%
Image 268: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 95.39%
Image 269: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 56.56%
Image 270: Predicted Gesture: 8, Correct Gesture: 8, Confidence: 91.09%
Image 271: Predicted Gesture: 5, Correct Gesture: 9, Confidence: 43.66%
Image 272: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 100.00%
Image 273: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 100.00%
Image 274: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 99.53%
Image 275: Predicted Gesture: 8, Correct Gesture: 9, Confidence: 88.86%
Image 276: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 92.42%
Image 277: Predicted Gesture: 3, Correct Gesture: 9, Confidence: 97.66%
Image 278: Predicted Gesture: 3, Correct Gesture: 9, Confidence: 98.23%
Image 279: Predicted Gesture: 7, Correct Gesture: 9, Confidence: 80.74%
Image 280: Predicted Gesture: 8, Correct Gesture: 9, Confidence: 86.54%
Image 281: Predicted Gesture: 8, Correct Gesture: 9, Confidence: 72.06%
Image 282: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 95.38%
Image 283: Predicted Gesture: 4, Correct Gesture: 9, Confidence: 45.18%
Image 284: Predicted Gesture: 4, Correct Gesture: 9, Confidence: 43.32%
Image 285: Predicted Gesture: 1, Correct Gesture: 9, Confidence: 83.83%
Image 286: Predicted Gesture: 1, Correct Gesture: 9, Confidence: 96.08%
Image 287: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 98.55%
Image 288: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 74.47%
Image 289: Predicted Gesture: 6, Correct Gesture: 9, Confidence: 86.80%
Image 290: Predicted Gesture: 8, Correct Gesture: 9, Confidence: 99.96%
Image 291: Predicted Gesture: 8, Correct Gesture: 9, Confidence: 99.96%
Image 292: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 96.27%
Image 293: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 100.00%
Image 294: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 58.90%
Image 295: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 93.45%
Image 296: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 99.99%
Image 297: Predicted Gesture: 8, Correct Gesture: 9, Confidence: 52.59%
Image 298: Predicted Gesture: 9, Correct Gesture: 9, Confidence: 40.70%
Image 299: Predicted Gesture: 4, Correct Gesture: 9, Confidence: 35.51%
Image 300: Predicted Gesture: 8, Correct Gesture: 9, Confidence: 32.14%
Average Confidence Rate: 84.21%
